source_name,video_id,video_title,video_url,published_at,transcript_status,gemini_status,gemini_error,is_property_listing,location,normalized_locality,is_target_location,location_score,property_type,bhk,land_area,built_up_area,price,facing,road_width,floors,bedrooms,bathrooms,parking,approval,amenities,nearby_landmarks,contact_details,missing_fields,source_facts,visual_style,exterior_description,neighbourhood_description,video_status
Dream Home Tamil,v55WAeeuLt8,"2.75 செண்டில்,கோவை பட்டணத்தில்😍இந்த விலைக்கு👌இப்படி ஒரு வீடு கிடைக்கும்னு நினைச்சீங்களா? 😲",https://www.youtube.com/watch?v=v55WAeeuLt8,2026-08-04T14:12:18Z,analyzed_from_video,success,,True,"1.50 km from Pattanam, Coimbatore, Tamil Nadu",Pattanam,True,1.0,Single Family House / Simplex Villa,2 BHK,2.75 Cents,1050 sq.ft.,₹65 Lakhs (Negotiable),North,30 & 33 feet tar road,1 (Ground floor + Terrace),2,2,Covered Car Parking (14x16 ft),DTCP Approved & Plan Approved,DTCP Approval | Plan Approval | Covered Car Parking | 6000 Ltr Water Sump | 10000 Ltr Septic Tank | Borewell with Motor | Overhead Water Tank | Compound Wall | Chockpit | Good Water Connection,Pattanam (1.50 km) | Schools | Colleges,+91 8122873894,,"Land area is 2.75 cents and building area is 1050 sqft. | House is North facing 2BHK Simplex model. | Price listed is 65 Lakhs (Negotiable) with up to 85% loan support. | Located 1.50 kms from Pattanam, Coimbatore. | Parking size is 14x16 ft, living hall is 10x20 ft, kitchen is 10x8 ft, master bedroom is 10x16 ft, and kids bedroom is 10x10 ft.","Vertical promotional video walk-through with background instrumental music, highlighting exterior elevation, parking portico, hall, kitchen, bedrooms, bathrooms, and terrace views.","Modern single-story elevation featuring cream and accent maroon walls, CNC decorative metal cutouts, yellow entrance ramp, grey metal gate, tiled car parking porch, stainless steel staircase railing leading to a spacious open rooftop terrace with dual water tanks.","Residential developing area with wide roads and scattered modern houses located near Pattanam, Coimbatore.",approval_pending
Dream Home Tamil,5guJn9bw07E,"2.75 செண்டில்,கோவை பட்டணத்தில்😍இந்த விலைக்கு👌இப்படி ஒரு வீடு கிடைக்கும்னு நினைச்சீங்களா? 😲#pattanam",https://www.youtube.com/watch?v=5guJn9bw07E,2026-08-03T12:42:12Z,analyzed_from_video,success,,True,"Pattanam, Coimbatore, Tamil Nadu",Pattanam,True,1.0,Independent House / Simplex,2,2.75 Cents,1050 Sq.Ft.,Rs. 62 Lakhs (Negotiable),North,23 Feet,1,2,3,16x16 Ft Car & Bike Parking Portico,"DTCP Approved, Plan Approved",Car Parking | 6000 Ltr Water Sump | Borewell with Motor (460 ft) | Water Connection | Compound Wall | Common Bathroom under staircase | Washing Machine Provision | Overhead Water Tanks | False Ceiling / Spotlights | Semi-furnished / Interior included,Pattanam (1.5 km) | Ondipudur (5 mins travel time) | L&T Bypass | Trichy Road,+91 8122873894,,"Plot size is 30x40 feet (2.75 cents) with a built-up area of 1050 sq.ft. | House is a 2BHK North-facing single floor/simplex property. | Located 1.5 km from Pattanam and 5 minutes from Ondipudur, Coimbatore. | Master bedroom measures 10x16 ft with an attached 4x4 ft bathroom. | Kids bedroom measures 10x11 ft with an attached 4x4 ft bathroom. | Living hall measures 10x20 ft and kitchen measures 10x8 ft. | Car parking size is 16x16 ft equipped with a 6000 Ltr water sump and borewell. | Asking price is 62 Lakhs including interior work, with up to 85% home loan available.","Property walkthrough presenter video with clear on-screen text overlays, steady interior and exterior camera pans, and natural voiceover narration in Tamil.","Modern single-story home with a contemporary elevation featuring cream and maroon textured paint, vertical CNC laser-cut decorative grilles, exterior accent spotlights, a white metal main gate, covered parking portico, and an external staircase leading to an open terrace.","Quiet, suburban residential neighborhood with newly built homes, surrounding greenery, unpaved approach road connected to wide village roads, and good proximity to key Coimbatore road corridors.",approval_pending
Dream Home Tamil,iPZArXSDI4Q,"கோவை பட்டணத்தில்,2.75 செண்டில் கட்டுன,இந்த மாதிரி 2BHK வீடுங்களுக்கு👌ரொம்ப ரொம்ப RARE-ங்கோ😍#pattanam",https://www.youtube.com/watch?v=iPZArXSDI4Q,2026-08-01T12:35:07Z,analyzed_from_video,success,,True,"Pattanam, Coimbatore, Tamil Nadu",Pattanam,True,1.0,Independent House / Simplex Villa,2 BHK,2.75 Cents (30x40 ft plot dimensions),1300 sq ft (as per description) / ~1000 sq ft (as per video audio),"₹53,000,000 (53 Lakhs, Negotiable)",North Facing,23 feet front street road (30 & 33 feet roads in layout),Ground floor (Single floor),2,3,Covered car parking area (14x16 ft),"DTCP approved, Plan approved",Car Parking | Water Sump (6000 Ltrs) | Borewell with Motor | Drinking Water Connection | Septic Tank (10000 Ltrs) | Outdoor Common Toilet | UPS & Washing Machine Provision | Teak Wood Main Door with Carvings | Vitrified Tile Flooring | Designer Wall Texture & Accent Lighting | Granite Kitchen Countertop & Stainless Steel Sink | Compound Wall & Heavy Metal Gate,Pattanam (1.5 km) | Ondipudur (10 mins drive) | Trichy Road | L&T Bypass Road,+91 8122873894,,"Property is a 2 BHK independent home built on 2.75 cents land in Pattanam, Coimbatore. | House is North-facing with a North-facing teak main door entrance. | Plot size is 30 feet by 40 feet. | Asking price is 53 Lakhs (negotiable) with up to 85% bank loan facility. | Layout includes 14x16 ft car parking, 10x16 ft living hall, 10x8 ft kitchen, 10x16 ft master bedroom with 4x7 ft attached bathroom, 10x10 ft kids bedroom with 4x7 ft attached bathroom, and a 3x4 ft outdoor common toilet under the staircase. | Equipped with 6000L water sump, 10000L septic tank, and borewell connection.","Host-led walkthrough video shot in daylight, featuring full exterior elevation view, guided tour of parking, living hall, kitchen, master bedroom, kid's bedroom, attached bathrooms, and porch.","Modern single-story exterior finished in beige and olive grey paint, highlighted by bright orange and yellow geometric accent boxes on the parapet wall and decorative leaf texture tiles on the side wall. Includes a white iron folding gate, paved ramp, and tile-clad parking portico.","Residential neighborhood in Pattanam area with several existing single-story and double-story houses nearby, surrounded by open plots and low-density residential developments.",approval_pending
Dream Home Tamil,LsHrJZL5kVg,"கோவை பாப்பம்பட்டியில்,35 லட்சத்தில்😍வேற LEVEL🔥2BHK யாரும் கட்டி தராத CHALLENGING விலையில்#cbe_",https://www.youtube.com/watch?v=LsHrJZL5kVg,2026-07-31T13:28:29Z,analyzed_from_video,success,,True,"Papampatti, Coimbatore, Tamil Nadu",Pattanam,True,1.0,Independent House,2,2.25 Cents,850 sq.ft.,₹35 Lakhs,East,30 to 33 feet,1,2,2,Car Parking (10 x 16 ft),DTCP approved,False Ceiling with LED Lights | Plywood TV Unit | Modular Kitchen | Kitchen Chimney | Water Purifier | Full Bedroom Interior with Wardrobes | Bathroom Water Heater | Mirror Cabinet | Pooja Room | Borewell with Motor | Water Sump (8000 Ltr) | Septic Tank (10000 Ltrs) | Compound Wall | Overhead Water Tanks,Papampatti Four Corner | Papampatti Pirivu Trichy Road | KIT College of Engineering | SSBMV Metric & CBSE School | L&T Bypass | Singanallur,+91 8072663793 | +91 8122873894,,"2BHK house constructed on 2.25 cent land area with 850 sq.ft built-up area for ₹35 Lakhs budget in Papampatti, Coimbatore. | Includes fully furnished interiors, modular kitchen with free chimney and water purifier, false ceiling lighting, and bathroom water heater. | Property features individual borewell, 8,000L water sump, 10,000L septic tank, and dedicated car parking.","Vibrant custom interiors featuring colorful ambient LED lighting, patterned marble-finish floor tiles, full-wall wooden laminate paneling, and modern modular storage fixtures.","Single-story contemporary house exterior featuring a bold light blue and yellow vertical accent panel with cross detail, dark grey siding, covered car parking porch, brick-style tile porch wall, and open rooftop terrace with dual water storage tanks.","Residential neighborhood in Papampatti, Coimbatore with tar roads, easy access to public transit every 10 minutes to Ukkadam, and proximity to schools, engineering colleges, and Trichy Road.",approval_pending
Dream Home Tamil,INNEbTawp3I,"கோவை பட்டணத்தில்,இந்த விலையில்😍3BHK வீடு…வாய்ப்பில்லைங்க..🫣சீக்கிரமா வாங்கோ😍📍#pattanam #coimbatore",https://www.youtube.com/watch?v=INNEbTawp3I,2026-07-30T13:11:52Z,analyzed_from_video,success,,True,"Pattanam, Coimbatore, Tamil Nadu, India",Pattanam,True,1.0,Independent House,3,2 Cents,1300 sq.ft.,₹52 Lakhs (Negotiable),East,NOT SPECIFIED,2,3,4,Car Parking (9x16 ft),NOT SPECIFIED,Car Parking | Borewell | Water Sump | Drinking Water Connection | Balcony | Open Terrace | Wall Shelves & Loft,L&T Bypass | Trichy Road | SBI IO School,+91 8122873894,road_width | approval,"3BHK East-facing independent house for sale in Pattanam, Coimbatore | Land area is 2 Cents and total built-up area is 1300 sq.ft. | Asking price is ₹52 Lakhs (Negotiable) | Ground floor has car parking, living hall (10x16 ft), kitchen (8x10 ft), 1 bedroom (10x10 ft) with attached bathroom, plus 1 common outdoor bathroom | First floor has a compact living space (5x8 ft) and 2 master bedrooms (10x16 ft) with attached bathrooms | Equipped with borewell, water sump, drinking water supply, balcony, and open terrace access","Real estate walkthrough video presented with Tamil voiceover, displaying exterior front elevation, car parking, interior living spaces, kitchen, bedrooms, attached baths, balcony, and roof terrace views.","Two-story modern villa with dual-tone brown and grey accent panels, geometric line patterns on the upper facade, covered car parking area, gated entrance, and first-floor open balcony.","Residential neighborhood in Pattanam, Coimbatore, situated near L&T Bypass and Trichy Road with adjacent houses and street access.",approval_pending
Dream Home Tamil,Qey-U5vvC_M,இந்த ஏரியாவில் 3.50 செண்டில்😍இந்த ஒரு 2BHK வீடு மட்டும் தான்👍சீக்கிரமா BOOK பண்ணுங்க🎉#papampatti,https://www.youtube.com/watch?v=Qey-U5vvC_M,2026-07-30T06:56:25Z,analyzed_from_video,success,,True,"Papampatti, Tamil Nadu",,False,0.0,Independent House,2 BHK,3.50 Cents,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Ground Floor with Open Rooftop Terrace,2,NOT SPECIFIED,Covered Car Parking / Portico,NOT SPECIFIED,Covered Parking | Open Roof Terrace | Granite Kitchen Counter | Decorated Main Entrance Door | Tiled Portico Floor | Borewell/Water Connection Space,,+91 8122873894,built_up_area | price | facing | road_width | bathrooms | approval,Land area is 3.50 cents as stated in the title. | Property configuration is 2BHK as stated in the title. | Located in Papampatti as indicated by the hashtag #papampatti. | Booking phone number displayed on screen: +91 8122873894. | Video published by YouTube channel Dream Home Tamil.,"Short-form promotional video showcase with background music, dynamic camera panning through exterior, interior living room, kitchen, bedrooms, bathrooms, and roof terrace, featuring text overlay for booking details.","Single-story contemporary house featuring dual-tone grey and mustard yellow exterior paint, decorative brick pattern cladding, laser-cut metal tree design on front facade, sliding/folding wooden-finish gate, checkered tiled portico/verandah, and an outdoor staircase leading to a spacious white parapet rooftop.","Suburban residential neighborhood in Papampatti with single and double-story independent homes nearby, unpaved approach road, and open green landscape views from the terrace.",not_target
Dream Home Tamil,1xfrfTWlyqk,இந்த ஏரியாவில் 3.50 செண்டில்😍இந்த ஒரு 2BHK வீடு மட்டும் தான்👍சீக்கிரமா BOOK பண்ணுங்க🎉📍#papampatti,https://www.youtube.com/watch?v=1xfrfTWlyqk,2026-07-29T13:15:42Z,analyzed_from_video,success,,True,"Papampatti, Coimbatore, Tamil Nadu",,False,0.45,Independent House,2BHK,3.5 Cents (30 ft x 50 ft),1450 Sq.Ft,Rs. 65 Lakhs (Slightly Negotiable),"South-facing plot, East-facing Main Door",23 Feet,Ground Floor + Open Terrace,2,3,Covered Car Parking (10 ft x 16 ft) & Bike Parking,NOT SPECIFIED,Borewell | Underground Water Sump | Overhead Water Tanks | Covered Car Parking | Laser-cut Iron Gate | UPVC Windows | Teak Wood Main Door | Outside Common Bathroom | Spacious Open Terrace,Papampatti Four Road (1 km) | Trichy Road / Papampatti Pirivu | Kalaignar College (approx. 5 km) | Nearby Bus Stand | Nearby School,+91 8122873894,approval,"Location specified as Papampatti, Coimbatore on screen and audio. | Land area stated as 3.5 cents with 30x50 plot dimensions. | Total built-up area stated as 1450 sq.ft. | Layout consists of 2 BHK on ground floor, 2 attached bathrooms, and 1 external common bathroom. | Road width stated as 23 feet. | Asking price stated as 65 Lakhs negotiable. | Contact number displayed on video: +91 8122873894.","Real estate video tour presented on-camera with detailed walkthrough of exterior, parking area, living hall, kitchen, bedrooms, bathrooms, and terrace.","Single-story modern elevation house with multi-color painted facade, brick-pattern accent tiles, laser-cut iron gate, 10x16 ft covered car parking with checkered tiles, full wall tiling in porch area, and staircase leading to a spacious open terrace.","Developed residential area in Papampatti, Coimbatore, featuring a 23-ft access road and surrounded by independent houses.",not_target
Dream Home Tamil,-7cgSRXtLEk,"1300 sqft ல்,லட்டு மாதிரி😍ஒரே இடத்தில்,இரண்டு Semi furnished👌2BHK DUPLEX வீடுகள்😍📍#kinathukadavu",https://www.youtube.com/watch?v=-7cgSRXtLEk,2026-07-29T05:59:12Z,analyzed_from_video,success,,True,Kinathukadavu,,False,0.0,Duplex House,2,1300 sqft,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,2,2,2,Covered Car Parking,NOT SPECIFIED,Covered Car Parking | Modular Kitchen | False Ceiling | Pooja Unit | Wardrobes | Terrace Access,,+91 80-72666612,built_up_area | price | facing | road_width | approval | nearby_landmarks,"1300 sqft area specified in title | 2BHK duplex houses mentioned in title | Location Kinathukadavu indicated via title hashtag #kinathukadavu | Contact number +91 80-72666612 provided in video overlay text | Semi-furnished status shown with modular kitchen, TV unit, pooja unit, and built-in wardrobes","Vertical real estate tour featuring background music, demonstrating exterior elevation, parking portico, living room, kitchen, bedrooms, attached bathrooms, and upper level terrace access.","Modern dual-toned duplex home exterior with pink, maroon, grey, and faux-wood panel finishing, compound gate with diamond geometric design, and tiled parking portico.",Suburban residential neighborhood layout with paved road access.,not_target
Dream Home Tamil,61letGCd-qw,"1300 sqft ல்,லட்டு மாதிரி😍ஒரே இடத்தில்,இரண்டு Semi furnished👌2BHK DUPLEX வீடுகள்😍📍#kinathukadavu",https://www.youtube.com/watch?v=61letGCd-qw,2026-07-28T08:54:36Z,analyzed_from_video,success,,True,"Kinathukadavu, Coimbatore",,False,0.45,Duplex House,2,2.5 Cents,1300 sqft,NOT SPECIFIED,East,NOT SPECIFIED,2,2,3,Car Parking (15ft x 12ft),NOT SPECIFIED,Car Parking | Borewell | Water Tank | Modular Kitchen | Chimney | Pooja Cabinet | TV Unit | Wardrobes | False Ceiling | Open Balcony | Terrace Access,Coimbatore - Pollachi Highway | Coco Town,+91 8072666612,price | road_width | approval,"Title: 1300 sqft ல்,லட்டு மாதிரி😍ஒரே இடத்தில்,இரண்டு Semi furnished👌2BHK DUPLEX வீடுகள்😍📍#kinathukadavu | Location mentioned: Kinathukadavu, Coimbatore (3 km from Coimbatore - Pollachi Highway, inside Coco Town gated layout) | Land Area: 2.5 cents (1089 sqft approx) | Built-up Area: 1300 sqft | Facing: East facing house and main entrance | Configuration: 2 BHK Duplex with 2 Master Bedrooms (10ft x 16ft) with attached bathrooms, living hall, kitchen (10ft x 10ft), pooja cabinet, first-floor living hall, washing machine area, open balcony, and terrace | Parking size: 15ft x 12ft car parking with borewell and water connection | Contact number shown on screen: +91 8072666612",Vertical real estate walkthrough video presented by a host with clear text overlays showing location and booking phone number.,"Modern contemporary duplex elevation with pink and grey textured accent walls, compound wall with geometric design patterns, and an iron entrance gate.","Residential gated layout setting with paved roads, street lights, and open views located in Kinathukadavu near the Coimbatore-Pollachi highway.",not_target
Dream Home Tamil,vpFGa6DtOpI,"கோவை பாப்பம்பட்டியில்,35 லட்சத்தில்😍வேற LEVEL 2BHK🔥யாரும் கட்டி தராத CHALLENGING விலையில்#coimbatore",https://www.youtube.com/watch?v=vpFGa6DtOpI,2026-07-27T12:40:28Z,analyzed_from_video,success,,True,"Papampatti, Coimbatore, Tamil Nadu, India",,False,0.45,Independent House,2 BHK,2.25 Cents,850 sq ft,₹35 Lakhs,"South Facing Site, East Facing Main Door",NOT SPECIFIED,1 (Ground Floor + Terrace),2,"3 (2 Attached, 1 Terrace Common)",1 Covered Car Parking (10x16 ft),NOT SPECIFIED,Borewell | Water Sump & Connection | Overhead Water Tanks | Modular Kitchen | Electric Chimney | Water Purifier | TV Unit / Entertainment Console | False Ceiling with LED Lights & Chandelier | Water Heater / Geyser | Pooja Cabinet | Open Terrace with Terracotta Finish,Papampatti Four Roads (Papampatti Naal Road),+91 8072663793,road_width | approval,"2 BHK model house built on 2.25 cents land area with 850 sq ft built-up area for ₹35 Lakhs. | Located in Papampatti, Coimbatore near Papampatti Four Roads. | South-facing plot with East-facing main door entry. | Includes borewell, water sump, separate overhead tanks, and complete interior woodwork. | Features living hall (11x16 ft), modular kitchen (8x8 ft), master bedroom (8x16 ft), and second bedroom (10x10 ft). | Includes complimentary chimney, RO water purifier, TV unit, geysers, and pooja unit. | Bank loan assistance available up to 85-90% (requiring ₹5 Lakhs down payment).","Presenter-led walkthrough video showcasing exterior elevation, street view, interior rooms, kitchen, bedrooms, attached bathrooms, and rooftop terrace with clear camera pans and on-screen contact overlay.","Modern compact individual row house with vibrant blue, yellow, and grey elevation design, iron gate, covered car parking bay with wall tiles, and stair access to open terrace.","Residential layout in Papampatti with paved access roads, adjacent newly constructed row houses, and surrounding low-rise residential homes.",not_target
